,CharName
Hawkeye,14
Luke Cage,13
Spider-Woman (Jessica Drew),12
Namor,12
She-Hulk (Jennifer Walters),12
Hercules,11
Vision,11
Scarlet Witch,11
Wasp,11
Tigra (Greer Nelson),11
Iron Fist (Danny Rand),10
Winter Soldier,10
Inhumans,10
Magneto,10
J. Jonah Jameson,10
Iceman,10
Black Bolt,9
Nick Fury,9
Sub-Mariner,9
Medusa,9
Psylocke,9
Nova,9
Professor X,9
Jessica Jones,8
Archangel,8
Loki,8
Thunderbolts,8
Thanos,8
Wonder Man,8
Mary Jane Watson,8
Punisher,7
Nightcrawler,7
Justice,7
New Mutants,7
Deadpool,7
Dazzler,7
Galactus,7
Doctor Doom,7
Maria Hill,7
Emma Frost,7
Elektra,7
Guardians of the Galaxy,7
Sentry (Robert Reynolds),7
Hank Pym,7
Alpha Flight,7
Gambit,6
Odin,6
Franklin Richards,6
Jocasta,6
Havok,6
Jean Grey,6
Cloak,6
Juggernaut,6
Shang-Chi,6
Quasar (Phyla-Vell),6
Namorita,6
Quicksilver,6
Bruce Banner,6
Kitty Pryde,5
Kingpin,5
Moon Knight,5
White Tiger (Angela Del Toro),5
Falcon,5
Crystal,5
Rage,5
Sunspot,5
Hardball,5
Constrictor,5
May Parker,5
Edwin Jarvis,5
Dagger,5
Gauntlet (Joseph Green),5
Venom (Mac Gargan),5
Penance (Robert Baldwin),5
Misty Knight,5
Red Skull,5
Skrulls,5
Taskmaster,5
Karnak,5
Gamora,5
Dani Moonstar,5
Adam Warlock,5
Ghost Rider (Johnny Blaze),5
Red She-Hulk,4
Jubilee,4
Moonstone,4
Bullseye,4
Black Cat,4
Mantis,4
Slapstick,4
Thor Girl,4
Moondragon,4
Firestar,4
Norman Osborn,4
Cloud 9,4
Amadeus Cho,4
Polaris,4
Valeria Richards,4
Ronan,4
Ultron,4
X-Factor,4
Shocker (Herman Schultz),4
Ares,4
Cable,4
Blue Marvel,4
Iron Patriot (James Rhodes),4
Rocket Raccoon,4
Gravity,4
Lilandra,4
Mockingbird,4
The Hand,4
Star-Lord (Peter Quill),4
Trauma,4
Quasar (Wendell Vaughn),4
Quake (Daisy Johnson),4
Sasquatch (Walter Langkowski),4
Young Avengers,4
Rick Jones,4
Komodo (Melati Kusuma),4
Red Hulk,4
Iron Patriot,3
Super-Skrull,3
Giant Man,3
Swordsman,3
Black Knight (Sir Percy of Scandia),3
Excalibur,3
Longshot,3
Gorgon,3
Maximus,3
Nightmare,3
Deathcry,3
Magus (Adam Warlock),3
Northstar,3
Power Pack,3
Ben Urich,3
Wong,3
Sin,3
She-Hulk (Lyra),3
Drax,3
Stepford Cuckoos,3
Serpent Society,3
Snowbird,3
Boom Boom,3
Brood,3
Morbius,3
Lockjaw,3
Diamondback (Rachel Leighton),3
Madame Masque,3
Defenders,3
Tony Stark,3
Cannonball,3
Hawkeye (Kate Bishop),3
Speed,3
Heroes For Hire,3
Daimon Hellstrom,3
Secret Warriors,3
Night Thrasher,3
Sebastian Shaw,3
Reptil,3
Blastaar,3
Sharon Carter,3
Hulkling,3
Magik (Illyana Rasputin),3
Rictor,3
The Hood,3
Absorbing Man,3
Warbird,3
Skaar,3
Stature,3
Harry Osborn,3
Beta-Ray Bill,3
GW Bridge,3
Aurora,3
Gladiator (Kallark),3
Banshee,3
Mephisto,3
Captain Britain,3
Grey Gargoyle,3
Bishop,3
Colleen Wing,3
Foggy Nelson,3
New Warriors,3
Marvel Boy,3
Wiccan,3
Triton,3
Forge,3
Uatu The Watcher,3
Bengal,3
Speedball (Robert Baldwin),2
X-Force,2
Domino,2
Pepper Potts,2
Lightspeed,2
Jackal,2
Puck,2
Henry Peter Gyrich,2
Nebula,2
Forgotten One,2
Jimmy Woo,2
Clea,2
M.O.D.O.K.,2
Hope Summers,2
Hepzibah,2
Liz Osborn,2
Human Robot,2
Carol Danvers,2
Prodigy,2
U.S. Agent,2
Patriot,2
Namora,2
Lizard,2
Peter Parker,2
Korg,2
Hobgoblin (Roderick Kingsley),2
Angel (Warren Worthington III),2
Vermin (Edward Whelan),2
Boomerang,2
Sunfire,2
Banshee (Theresa Rourke),2
Fin Fang Foom,2
Elsa Bloodstone,2
Madelyne Pryor,2
Thundra,2
Gateway,2
Prowler,2
Thunderbird (John Proudstar),2
Blade,2
Apocalypse,2
Groot,2
Ch'od,2
Lady Bullseye,2
Songbird,2
Debrii,2
Venus (Siren),2
Dum Dum Dugan,2
X-Man,2
Vindicator,2
Guardian,2
Chameleon,2
Firelord,2
Wraith,2
Kate Bishop,2
The Initiative,2
Darkhawk,2
Man-Thing,2
Johnny Storm,2
Pixie,2
Puma,2
Ancient One,2
Green Goblin (Harry Osborn),2
Crossbones,2
Typhoid Mary,2
Titanium Man (Topolov),2
Dark Avengers,2
Shaman,2
Doctor Octopus,2
Mojo,2
Beetle (Abner Jenkins),2
Sif,2
X-23,2
Deathbird,2
Wolfsbane,2
Purifiers,2
Dragon Man,2
Purple Man,2
Goliath (Bill Foster),2
Spider-Gwen (Spider-Gwen),2
Legion,2
Alicia Masters,2
Tempest,2
Leech,2
Paladin,2
Fantomex,2
Avalanche,2
Deathlok,2
Electro,2
Kang,2
Shatterstar,2
Captain Universe,2
Spiral (Rita Wayword),2
Imperial Guard,2
Mr. Negative,2
Raza,2
Spider-Girl (Anya Corazon),2
High Evolutionary,2
Charles Xavier,2
Firebird,2
Spot,2
Morlun,2
Toxin (Eddie Brock),2
Warlock (Technarchy),2
Rhino,2
Hydra,2
Dark Beast,1
Scarlet Spider (Kaine),1
Runaways,1
Hobgoblin (Jason Macendale),1
Molly Hayes,1
Warstar,1
Lily Hollister,1
Echo,1
Gwen Stacy,1
Fat Cobra,1
Shriek,1
Dormammu,1
Moira MacTaggert,1
Owl,1
Mandrill,1
Armory,1
Silvermane,1
Multiple Man,1
Bushwacker,1
Radioactive Man,1
Hydro-Man,1
Jack O' Lantern,1
Stephen Strange,1
Eddie Brock,1
Stingray (Walter Newell),1
Mole Man,1
Frank Castle,1
Zaran,1
MVP,1
Skreet,1
Quentin Quire,1
Ajak,1
Humbug,1
Caretaker,1
Yellowjacket (Rita DeMara),1
Wrecking Crew,1
Magik (Amanda Sefton),1
Marauders,1
Arachne,1
Dark Phoenix,1
Ms. Marvel (Kamala Khan),1
Stardust,1
Anthem,1
Thunderbird (Neal Shaara),1
Hellcat (Patsy Walker),1
Unicorn,1
Goblin Queen,1
Supernaut,1
Wrecker,1
Annihilus,1
Ben Grimm,1
Shadow King,1
Omega Flight,1
Black Tarantula,1
Sabretooth,1
Whirlwind,1
Mystique,1
Cable (Deadpool),1
Cecilia Reyes,1
Praxagora,1
Doop,1
Curt Conners,1
Pyro,1
Romulus,1
Calamity,1
Riptide,1
Lockheed,1
Triathlon,1
Tenebrous,1
Dog Brother #1,1
Preak,1
Scorpion (Carmilla Black),1
Zaladane,1
Talkback (Chase Stein),1
Gorilla Man,1
The Liberteens,1
Scalphunter,1
Lethal Legion,1
Veda,1
Mulholland Black,1
Kat Farrell,1
Tiger's Beautiful Daughter,1
Blizzard,1
Carmella Unuscione,1
Miek,1
Beak,1
Ulik,1
Howard The Duck,1
Weapon Omega,1
Devil Dinosaur (Devil Dinosaur),1
H.A.M.M.E.R.,1
Spitfire,1
Wind Dancer,1
Boomer,1
Scrambler,1
Magma (Amara Aquilla),1
Spider-Girl (May Parker),1
Sersi,1
Vulture (Adrian Toomes),1
Kraven the Hunter,1
Carlie Cooper,1
Champions,1
Sally Floyd,1
Mister Sinister,1
Hiroim,1
Joystick,1
Dark X-Men,1
War Machine (Ultimate),1
Rachel Grey,1
Sleepwalker,1
Tana Nile,1
Pip,1
Zemo,1
Sister Grimm,1
Tinkerer,1
Squirrel Girl,1
Gertrude Yorkes,1
Crimson Dynamo,1
The Order,1
Grim Reaper,1
Puppet Master,1
Vertigo (Savage Land Mutate),1
Venom (Flash Thompson),1
Karma,1
Talos,1
Orphan-Maker,1
Molten Man,1
Cammi,1
