Zipcode,Population,Household Income,Median Age,Median Male Age,Median Female Age,Per Capita Income,lat,lng,city,state_id,state_name
00601,17242.0,13092.0,40.5,39.5,41.3,6999.0,,,,,
00602,38442.0,16358.0,42.3,41.9,42.8,9277.0,,,,,
00603,48814.0,16603.0,41.1,39.1,42.9,11307.0,,,,,
00606,6437.0,12832.0,43.3,43.2,43.4,5943.0,,,,,
00610,27073.0,19309.0,42.1,40.4,44.2,10220.0,,,,,
00612,60303.0,18171.0,42.4,39.8,44.7,10549.0,,,,,
00616,10765.0,16018.0,42.1,39.4,44.0,9102.0,,,,,
00617,23974.0,16735.0,40.1,39.2,41.0,9122.0,,,,,
00622,6578.0,15206.0,52.5,50.3,53.3,11749.0,,,,,
00623,42427.0,16280.0,41.8,41.2,42.3,8857.0,,,,,
00624,22707.0,17578.0,37.9,37.6,38.1,8696.0,,,,,
00627,32222.0,16831.0,40.8,39.5,42.8,10252.0,,,,,
00631,1568.0,9681.0,47.4,44.4,51.0,7863.0,,,,,
00637,22975.0,16887.0,42.1,40.4,43.4,9586.0,,,,,
00638,16701.0,14916.0,42.0,42.2,41.8,8485.0,,,,,
00641,27571.0,16795.0,43.1,42.5,43.6,8739.0,,,,,
00646,37494.0,29320.0,39.9,39.0,40.9,16462.0,,,,,
00647,5643.0,13674.0,48.0,49.5,47.9,7556.0,,,,,
00650,14760.0,19631.0,39.2,36.4,41.5,8799.0,,,,,
00652,3697.0,21650.0,39.8,39.7,39.9,11156.0,,,,,
00653,11140.0,12915.0,39.6,37.4,42.6,7366.0,,,,,
00656,18979.0,16902.0,41.0,40.3,41.8,8701.0,,,,,
00659,40390.0,17201.0,41.5,40.3,42.7,10659.0,,,,,
00660,16180.0,19394.0,45.8,43.6,48.1,11874.0,,,,,
00662,40290.0,17180.0,41.1,40.1,42.6,9320.0,,,,,
00664,14991.0,15253.0,38.0,36.3,40.3,7501.0,,,,,
00667,23590.0,13766.0,44.4,43.2,46.7,7268.0,,,,,
00669,25653.0,14816.0,42.1,40.9,43.5,8779.0,,,,,
00670,8498.0,13427.0,41.0,41.4,40.8,7270.0,,,,,
00674,39859.0,19211.0,41.6,40.1,42.5,10878.0,,,,,
00676,36995.0,14146.0,39.5,38.8,40.0,8802.0,,,,,
00677,14311.0,21673.0,45.4,44.9,46.1,11663.0,,,,,
00678,26091.0,16200.0,40.4,38.7,42.2,9654.0,,,,,
00680,46395.0,13911.0,42.9,38.3,47.0,10404.0,,,,,
00682,32359.0,15029.0,36.9,33.7,39.9,11102.0,,,,,
00683,30424.0,15523.0,43.7,41.8,45.1,9829.0,,,,,
00685,38039.0,14617.0,43.6,42.1,45.2,8724.0,,,,,
00687,31320.0,20589.0,37.9,36.8,39.2,9715.0,,,,,
00688,12202.0,17231.0,40.9,40.5,41.4,9155.0,,,,,
00690,5352.0,17622.0,46.4,43.5,47.6,11632.0,,,,,
00692,35840.0,19094.0,38.6,37.9,40.0,11955.0,,,,,
00693,54428.0,19119.0,40.6,39.2,41.9,10536.0,,,,,
00694,69.0,-666666666.0,73.6,-666666666.0,-666666666.0,6880.0,,,,,
00698,36312.0,15019.0,42.9,41.4,44.8,8355.0,,,,,
00703,26320.0,17129.0,41.6,39.3,43.1,10040.0,,,,,
00704,8274.0,14293.0,32.9,34.6,32.5,7373.0,,,,,
00705,23176.0,19516.0,41.5,39.5,43.7,10562.0,,,,,
00707,10964.0,19596.0,44.4,44.1,44.7,9398.0,,,,,
00714,17998.0,17095.0,39.6,37.4,40.7,8021.0,,,,,
00715,2972.0,13070.0,43.1,43.1,43.4,7114.0,,,,,
00716,28089.0,18818.0,43.7,39.0,47.3,14616.0,,,,,
00717,16659.0,12251.0,38.3,35.4,41.6,9975.0,,,,,
00718,25715.0,19318.0,37.5,37.0,38.3,9329.0,,,,,
00719,29119.0,19757.0,39.8,39.0,40.7,9167.0,,,,,
00720,21276.0,13408.0,38.9,37.8,40.3,7914.0,,,,,
00723,17393.0,15826.0,43.9,43.0,45.7,9270.0,,,,,
00725,80555.0,20920.0,41.3,38.3,43.9,13109.0,,,,,
00727,54823.0,31401.0,39.3,38.0,40.7,16733.0,,,,,
00728,39698.0,19047.0,38.6,36.2,41.2,9597.0,,,,,
00729,51593.0,20920.0,39.0,36.9,40.8,11730.0,,,,,
00730,31634.0,15431.0,41.5,38.4,43.8,11224.0,,,,,
00731,12722.0,17083.0,40.3,39.3,41.0,10431.0,,,,,
00735,12404.0,19184.0,41.8,39.8,43.3,12739.0,,,,,
00736,47411.0,21000.0,43.0,41.7,43.9,11996.0,,,,,
00738,30376.0,19404.0,41.5,39.1,43.0,11926.0,,,,,
00739,36847.0,20098.0,38.9,37.9,40.4,11112.0,,,,,
00740,1625.0,13136.0,35.6,40.1,33.9,6748.0,,,,,
00741,4880.0,22073.0,39.8,36.9,44.9,10191.0,,,,,
00745,51429.0,22782.0,40.7,38.8,42.4,11076.0,,,,,
00751,21009.0,17567.0,42.1,39.3,43.9,9556.0,,,,,
00754,37727.0,18895.0,40.9,39.6,42.0,10970.0,,,,,
00757,22066.0,17640.0,37.8,35.7,39.3,10895.0,,,,,
00765,8607.0,15271.0,43.7,41.0,45.5,11174.0,,,,,
00766,23201.0,19746.0,38.8,37.0,40.2,10631.0,,,,,
00767,34166.0,15999.0,42.5,39.9,43.7,9144.0,,,,,
00769,39121.0,19928.0,40.6,38.9,42.1,10774.0,,,,,
00771,37165.0,21499.0,39.0,38.5,39.7,11157.0,,,,,
00772,20055.0,15658.0,38.9,38.0,40.1,7934.0,,,,,
00773,18547.0,20829.0,41.2,39.9,41.6,11007.0,,,,,
00775,1299.0,23281.0,41.9,43.5,37.6,11658.0,,,,,
00777,39994.0,19139.0,38.5,37.5,39.2,9414.0,,,,,
00778,46675.0,33763.0,38.6,38.6,38.7,17457.0,,,,,
00780,11653.0,24287.0,38.3,34.9,42.1,14194.0,,,,,
00782,18229.0,12492.0,38.0,37.0,38.7,6747.0,,,,,
00783,33372.0,14748.0,38.6,37.1,40.0,7532.0,,,,,
00784,40685.0,16680.0,38.5,35.4,42.0,9889.0,,,,,
00786,348.0,-666666666.0,64.0,65.6,55.3,14278.0,,,,,
00791,48569.0,19793.0,42.3,40.2,43.9,12288.0,,,,,
00794,28755.0,15970.0,36.4,34.5,37.5,8221.0,,,,,
00795,44766.0,20700.0,38.5,37.1,39.4,10398.0,,,,,
00901,6536.0,20943.0,43.5,40.4,48.7,30345.0,,,,,
00906,184.0,102917.0,35.4,40.4,31.9,60330.0,,,,,
00907,16202.0,33167.0,48.6,46.5,50.4,37067.0,,,,,
00909,4989.0,16875.0,38.8,35.2,44.2,14984.0,,,,,
00911,7242.0,32833.0,47.6,41.0,51.6,29751.0,,,,,
00912,5455.0,22268.0,45.7,45.3,46.1,17863.0,,,,,
00913,8406.0,6878.0,25.2,22.0,27.7,7597.0,,,,,
00915,26131.0,13839.0,39.6,37.5,41.9,9526.0,,,,,
00917,18212.0,14307.0,46.4,44.2,49.7,13838.0,,,,,
00918,16063.0,23434.0,42.5,41.9,43.2,21307.0,,,,,
00920,16809.0,25841.0,45.5,41.1,49.4,15060.0,,,,,
00921,33394.0,19358.0,40.0,38.0,41.4,13323.0,,,,,
00923,24028.0,14241.0,41.0,36.0,44.7,11039.0,,,,,
00924,49508.0,18832.0,39.0,36.2,41.4,13159.0,,,,,
00925,6924.0,9468.0,37.3,39.9,31.0,11992.0,,,,,
00926,96530.0,34781.0,43.6,41.4,45.4,23190.0,,,,,
00927,13351.0,33502.0,45.6,38.7,50.5,24936.0,,,,,
00934,79.0,-666666666.0,32.8,-666666666.0,-666666666.0,16956.0,,,,,
00936,812.0,-666666666.0,77.3,79.4,77.0,7132.0,,,,,
00949,73891.0,26392.0,40.0,38.1,42.4,13582.0,,,,,
00950,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,,,,,
00951,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,,,,,
00952,8156.0,14911.0,41.9,40.6,43.0,8660.0,,,,,
00953,71891.0,29146.0,37.8,36.8,38.9,14447.0,,,,,
00956,65355.0,23149.0,41.4,38.7,43.7,12448.0,,,,,
00957,38915.0,24612.0,41.3,36.6,45.2,13557.0,,,,,
00959,47459.0,30049.0,40.4,37.1,43.2,16146.0,,,,,
00960,2221.0,-666666666.0,32.8,32.6,66.4,3069.0,,,,,
00961,30784.0,29197.0,43.4,40.5,46.6,16745.0,,,,,
00962,19593.0,16062.0,37.5,35.6,39.6,10157.0,,,,,
00965,7314.0,14821.0,45.4,41.9,47.8,12174.0,,,,,
00966,15710.0,47315.0,44.3,37.4,49.1,32873.0,,,,,
00968,3554.0,48175.0,57.6,50.8,58.8,41571.0,,,,,
00969,42525.0,51910.0,42.1,38.8,44.2,28160.0,,,,,
00971,26640.0,20608.0,43.5,42.6,44.7,14381.0,,,,,
00976,58893.0,31304.0,40.4,38.2,42.7,16454.0,,,,,
00979,15897.0,36270.0,48.8,47.1,51.1,30954.0,,,,,
00982,14241.0,24970.0,44.7,40.7,46.6,13553.0,,,,,
00983,34798.0,26259.0,41.7,40.2,43.0,13801.0,,,,,
00985,31845.0,25338.0,42.2,38.4,46.3,13550.0,,,,,
00987,57181.0,33042.0,39.6,37.5,41.4,16641.0,,,,,
01001,17621.0,62144.0,46.1,43.0,48.8,35135.0,,,,,
01002,30066.0,55858.0,23.4,23.3,23.7,29499.0,,,,,
01003,11238.0,2499.0,20.0,19.9,20.1,4590.0,,,,,
01005,4991.0,68278.0,48.1,48.4,47.5,35190.0,,,,,
01007,14967.0,93300.0,44.0,39.6,46.0,42021.0,,,,,
01008,1197.0,75250.0,53.0,53.3,51.7,36847.0,,,,,
01009,249.0,81250.0,58.2,34.8,58.2,32651.0,,,,,
01010,3739.0,84471.0,47.2,46.4,48.1,38489.0,,,,,
01011,1448.0,64904.0,46.0,47.5,45.2,30923.0,,,,,
01012,560.0,64091.0,51.6,45.8,55.5,37325.0,,,,,
01013,23065.0,40594.0,35.5,34.0,36.9,23656.0,,,,,
01020,30097.0,58226.0,44.3,43.5,45.1,30280.0,,,,,
01022,2499.0,41863.0,35.4,27.7,48.8,24254.0,,,,,
01026,954.0,55268.0,50.9,49.7,51.6,32310.0,,,,,
01027,17848.0,62772.0,45.3,44.8,46.2,37036.0,,,,,
01028,16200.0,88442.0,45.8,44.5,47.0,39074.0,,,,,
01029,651.0,72813.0,45.3,45.5,45.1,36045.0,,,,,
01030,11123.0,74139.0,47.9,47.5,48.6,36883.0,,,,,
01031,1197.0,42188.0,37.2,34.0,41.0,27298.0,,,,,
01032,533.0,80500.0,50.7,54.3,48.3,34264.0,,,,,
01033,6333.0,95987.0,47.0,44.0,48.4,42852.0,,,,,
01034,2179.0,84926.0,46.3,45.9,47.1,37270.0,,,,,
01035,5310.0,64276.0,49.6,48.0,51.9,43529.0,,,,,
01036,5191.0,85943.0,50.8,49.5,51.6,40873.0,,,,,
01037,798.0,96302.0,39.1,30.9,46.5,36432.0,,,,,
01038,2867.0,66818.0,50.8,49.9,51.0,38827.0,,,,,
01039,1042.0,77679.0,55.3,52.1,56.0,48914.0,,,,,
01040,40376.0,40656.0,34.9,33.0,37.2,23385.0,,,,,
01050,2422.0,63427.0,44.7,41.9,46.1,32499.0,,,,,
01053,1702.0,59074.0,54.3,44.5,60.5,31903.0,,,,,
01054,1983.0,91500.0,49.0,47.2,51.3,48512.0,,,,,
01056,21336.0,72040.0,44.5,42.6,46.9,32772.0,,,,,
01057,8745.0,82444.0,46.8,45.9,47.6,38217.0,,,,,
01060,15779.0,60020.0,35.0,39.9,32.0,36203.0,,,,,
01062,10495.0,73954.0,43.8,42.0,45.3,38324.0,,,,,
01063,592.0,-666666666.0,20.4,20.7,20.4,3532.0,,,,,
