Zipcode,Population,Household Income,Median Age,Median Male Age,Median Female Age,Per Capita Income
601,17242,13092,40.5,39.5,41.3,6999
602,38442,16358,42.3,41.9,42.8,9277
603,48814,16603,41.1,39.1,42.9,11307
606,6437,12832,43.3,43.2,43.4,5943
610,27073,19309,42.1,40.4,44.2,10220
612,60303,18171,42.4,39.8,44.7,10549
616,10765,16018,42.1,39.4,44,9102
617,23974,16735,40.1,39.2,41,9122
622,6578,15206,52.5,50.3,53.3,11749
623,42427,16280,41.8,41.2,42.3,8857
624,22707,17578,37.9,37.6,38.1,8696
627,32222,16831,40.8,39.5,42.8,10252
631,1568,9681,47.4,44.4,51,7863
637,22975,16887,42.1,40.4,43.4,9586
638,16701,14916,42,42.2,41.8,8485
641,27571,16795,43.1,42.5,43.6,8739
646,37494,29320,39.9,39,40.9,16462
647,5643,13674,48,49.5,47.9,7556
650,14760,19631,39.2,36.4,41.5,8799
652,3697,21650,39.8,39.7,39.9,11156
653,11140,12915,39.6,37.4,42.6,7366
656,18979,16902,41,40.3,41.8,8701
659,40390,17201,41.5,40.3,42.7,10659
660,16180,19394,45.8,43.6,48.1,11874
662,40290,17180,41.1,40.1,42.6,9320
664,14991,15253,38,36.3,40.3,7501
667,23590,13766,44.4,43.2,46.7,7268
669,25653,14816,42.1,40.9,43.5,8779
670,8498,13427,41,41.4,40.8,7270
674,39859,19211,41.6,40.1,42.5,10878
676,36995,14146,39.5,38.8,40,8802
677,14311,21673,45.4,44.9,46.1,11663
678,26091,16200,40.4,38.7,42.2,9654
680,46395,13911,42.9,38.3,47,10404
682,32359,15029,36.9,33.7,39.9,11102
683,30424,15523,43.7,41.8,45.1,9829
685,38039,14617,43.6,42.1,45.2,8724
687,31320,20589,37.9,36.8,39.2,9715
688,12202,17231,40.9,40.5,41.4,9155
690,5352,17622,46.4,43.5,47.6,11632
692,35840,19094,38.6,37.9,40,11955
693,54428,19119,40.6,39.2,41.9,10536
694,69,-666666666,73.6,-666666666,-666666666,6880
698,36312,15019,42.9,41.4,44.8,8355
703,26320,17129,41.6,39.3,43.1,10040
704,8274,14293,32.9,34.6,32.5,7373
705,23176,19516,41.5,39.5,43.7,10562
707,10964,19596,44.4,44.1,44.7,9398
714,17998,17095,39.6,37.4,40.7,8021
715,2972,13070,43.1,43.1,43.4,7114
716,28089,18818,43.7,39,47.3,14616
717,16659,12251,38.3,35.4,41.6,9975
718,25715,19318,37.5,37,38.3,9329
719,29119,19757,39.8,39,40.7,9167
720,21276,13408,38.9,37.8,40.3,7914
723,17393,15826,43.9,43,45.7,9270
725,80555,20920,41.3,38.3,43.9,13109
727,54823,31401,39.3,38,40.7,16733
728,39698,19047,38.6,36.2,41.2,9597
729,51593,20920,39,36.9,40.8,11730
730,31634,15431,41.5,38.4,43.8,11224
731,12722,17083,40.3,39.3,41,10431
735,12404,19184,41.8,39.8,43.3,12739
736,47411,21000,43,41.7,43.9,11996
738,30376,19404,41.5,39.1,43,11926
739,36847,20098,38.9,37.9,40.4,11112
740,1625,13136,35.6,40.1,33.9,6748
741,4880,22073,39.8,36.9,44.9,10191
745,51429,22782,40.7,38.8,42.4,11076
