,Event #,Event Title,# Chars in Event
0,116,Acts of Vengeance!,103
1,227,Age of Apocalypse,91
2,314,Age of Ultron,14
3,303,Age of X,45
4,329,All-New All-Different Marvel,0
5,229,Annihilation,34
6,293,Annihilation: Conquest,18
7,231,Armor Wars,10
8,233,Atlantis Attacks,48
9,234,Avengers Disassembled,18
10,322,Avengers NOW!,0
11,310,Avengers VS X-Men,51
12,320,Axis,19
13,235,Blood and Thunder,13
14,296,Chaos War,52
15,238,Civil War,101
16,330,Civil War II,0
17,239,Crossing,11
18,318,Dark Reign,144
19,240,Days of Future Present,31
20,332,Dead No More: The Clone Conspiracy,10
21,245,Enemy of the State,15
22,246,Evolutionary War,49
23,297,Fall of the Hulks,10
24,248,Fall of the Mutants,42
25,249,Fatal Attractions,45
26,302,Fear Itself,151
27,287,Heroic Age,8
28,251,House of M,60
29,252,Inferno,63
30,315,Infinity,36
31,253,Infinity Gauntlet,0
32,29,Infinity War,58
33,317,Inhumanity,37
34,334,Inhumans Vs. X-Men,19
35,255,Initiative,86
36,328,James Patterson's Max Ride,0
37,32,Kings of Pain,37
38,258,Kraven's Last Hunt,4
39,311,Marvel NOW!,32
40,151,Maximum Carnage,16
41,37,Maximum Security,73
42,299,Messiah CompleX,38
43,298,Messiah War,15
44,337,Monsters Unleashed,10
45,333,Monsters Unleashed,10
46,263,Mutant Massacre,38
47,154,Onslaught,95
48,319,Original Sin,37
49,266,Other - Evolve or Die,17
50,212,Planet Hulk,7
51,304,Point One,0
52,295,Realm of Kings,21
53,336,Secret Empire,80
54,269,Secret Invasion,100
55,270,Secret Wars,63
56,323,Secret Wars (2015),9
57,271,Secret Wars II,68
58,59,Shadowland,26
59,309,Shattered Heroes,45
60,273,Siege,67
61,219,Siege of Darkness,10
62,305,Spider-Island,47
63,321,Spider-Verse,4
64,327,Star Wars,0
65,294,The Thanos Imperative,20
66,276,War of Kings,25
67,277,World War Hulk,54
68,60,World War Hulks,18
69,316,X-Men: Battle of the Atom,24
70,308,X-Men: Regenesis,46
71,306,X-Men: Schism,19
72,279,X-Men: Second Coming,31
73,280,X-Tinction Agenda,22
