,Title,Box Office (in 000s),Release Date,Chronology,Duration
21,Avengers: Endgame,2795465.685,2019-04-26,22.0,182
18,Avengers: Infinity War,2048134.2,2018-04-27,20.0,149
5,The Avengers,1517935.897,2012-05-04,7.0,143
10,Avengers: Age of Ultron,1403013.963,2015-05-01,13.0,141
17,Black Panther,1348258.224,2018-02-16,16.0,134
6,Iron Man 3,1215392.272,2013-05-03,8.0,130
12,Captain America: Civil War,1140069.413,2016-05-06,15.0,147
20,Captain Marvel,1126129.839,2019-03-08,2.0,125
22,Spider-Man: Far From Home,1123901.18,2019-07-02,23.0,129
15,Spider-Man: Homecoming,880166.35,2017-07-07,17.0,133
14,Guardians of the Galaxy Vol. 2,862316.233,2017-05-05,12.0,136
16,Thor: Ragnarok,846980.024,2017-11-03,19.0,130
9,Guardians of the Galaxy,770867.516,2014-08-01,11.0,121
8,Captain America: The Winter Soldier,714401.889,2014-04-04,10.0,136
13,Doctor Strange,676404.566,2016-11-04,18.0,115
7,Thor: The Dark World,644602.516,2013-11-08,9.0,112
19,Ant-Man and The Wasp,623144.66,2018-07-06,21.0,125
2,Iron Man 2,621156.389,2010-05-07,4.0,124
0,Iron Man,585171.547,2008-05-02,3.0,126
11,Ant-Man,518858.449,2015-07-17,14.0,117
3,Thor,449326.618,2011-05-06,6.0,115
4,Captain America: The First Avenger,370569.776,2011-07-22,1.0,124
1,The Incredible Hulk,265573.859,2008-06-13,5.0,112
