Name,Household Income,Population,Median Age,Median Male Age,Median Female Age,Per Capita Income,state,State,Latitude,Longitude
Minnesota,68411.0,5527358.0,37.9,37.0,38.9,36245.0,27,Minnesota,46.2807,-94.3053
Mississippi,43567.0,2988762.0,37.2,35.6,38.6,23434.0,28,Mississippi,32.7364,-89.6678
Missouri,53560.0,6090062.0,38.5,37.1,40.0,29537.0,29,Missouri,38.3566,-92.458
Montana,52559.0,1041732.0,39.8,38.7,40.9,29765.0,30,Montana,47.0527,-109.6333
Nebraska,59116.0,1904760.0,36.4,35.4,37.4,31101.0,31,Nebraska,41.5378,-99.7951
Nevada,57598.0,2922849.0,37.9,37.2,38.5,29961.0,32,Nevada,39.3289,-116.6312
New Hampshire,74057.0,1343622.0,42.7,41.5,44.0,38548.0,33,New Hampshire,43.6805,-71.5811
New Jersey,79363.0,8881845.0,39.8,38.2,41.4,40895.0,34,New Jersey,40.1907,-74.6728
New Mexico,48059.0,2092434.0,37.5,36.1,39.1,26085.0,35,New Mexico,34.4071,-106.1126
New York,65323.0,19618453.0,38.7,37.1,40.2,37470.0,36,New York,42.9538,-75.5268
North Carolina,52413.0,10155624.0,38.6,37.1,40.1,29456.0,37,North Carolina,35.5557,-79.3877
North Dakota,63473.0,752201.0,35.1,34.1,36.4,35373.0,38,North Dakota,47.4501,-100.4659
Ohio,54533.0,11641879.0,39.3,37.8,40.8,30304.0,39,Ohio,40.2862,-82.7937
Oklahoma,51424.0,3918137.0,36.4,35.2,37.7,27432.0,40,Oklahoma,35.5889,-97.4943
Oregon,59393.0,4081943.0,39.2,38.2,40.3,32045.0,41,Oregon,43.9336,-120.5583
Pennsylvania,59445.0,12791181.0,40.7,39.1,42.4,32889.0,42,Pennsylvania,40.8781,-77.7996
Rhode Island,63296.0,1056611.0,39.9,38.1,41.6,34619.0,44,Rhode Island,41.6762,-71.5562
South Carolina,51015.0,4955925.0,39.2,37.6,40.7,27986.0,45,South Carolina,33.9169,-80.8964
South Dakota,56499.0,864289.0,36.8,35.8,38.0,29801.0,46,South Dakota,44.4443,-100.2263
Tennessee,50972.0,6651089.0,38.7,37.4,39.9,28511.0,47,Tennessee,35.858000000000004,-86.3505
Texas,59570.0,27885195.0,34.4,33.5,35.4,30143.0,48,Texas,31.4757,-99.3312
Utah,68374.0,3045350.0,30.7,30.1,31.3,28239.0,49,Utah,39.3055,-111.6703
Vermont,60076.0,624977.0,42.9,41.4,44.2,33238.0,50,Vermont,44.0687,-72.6658
Virginia,71564.0,8413774.0,38.1,36.8,39.4,37763.0,51,Virginia,37.5215,-78.8537
West Virginia,44921.0,1829054.0,42.4,41.0,43.6,25479.0,54,West Virginia,38.6409,-80.6227
Washington,70116.0,7294336.0,37.6,36.6,38.7,36888.0,53,Washington,47.3826,-120.4472
Wisconsin,59209.0,5778394.0,39.3,38.2,40.5,32018.0,55,Wisconsin,44.6243,-89.9941
Wyoming,62268.0,581836.0,37.3,36.5,38.2,32295.0,56,Wyoming,42.9957,-107.5512
Puerto Rico,20166.0,3386941.0,40.9,39.0,42.6,12451.0,72,Puerto Rico,18.2001,-66.6645
Alabama,48486.0,4864680.0,38.9,37.4,40.3,26846.0,01,Alabama,32.7794,-86.8287
Alaska,76715.0,738516.0,34.0,33.6,34.5,35874.0,02,Alaska,64.0685,-152.2782
Arizona,56213.0,6946685.0,37.4,36.1,38.7,29265.0,04,Arizona,34.2744,-111.6602
Arkansas,45726.0,2990671.0,37.9,36.6,39.3,25635.0,05,Arkansas,34.8938,-92.4426
California,71228.0,39148760.0,36.3,35.2,37.5,35021.0,06,California,37.1841,-119.4696
Colorado,68811.0,5531141.0,36.6,35.7,37.6,36415.0,08,Colorado,38.9972,-105.5478
Connecticut,76106.0,3581504.0,40.8,39.1,42.6,43056.0,09,Connecticut,41.6219,-72.7273
Delaware,65627.0,949495.0,40.2,38.5,42.0,33989.0,10,Delaware,38.9896,-75.505
District of Columbia,82604.0,684498.0,33.9,33.8,34.1,53321.0,11,District of Columbia,38.9101,-77.0147
Florida,53267.0,20598139.0,41.9,40.3,43.5,30197.0,12,Florida,28.6305,-82.4497
Georgia,55679.0,10297484.0,36.5,35.2,37.8,29523.0,13,Georgia,32.6415,-83.4426
Idaho,53089.0,1687809.0,36.1,35.4,36.9,26772.0,16,Idaho,44.3509,-114.613
Hawaii,78084.0,1422029.0,38.9,37.4,40.4,34035.0,15,Hawaii,20.2927,-156.3737
Illinois,63575.0,12821497.0,37.9,36.6,39.2,34463.0,17,Illinois,40.0417,-89.1965
Indiana,54325.0,6637426.0,37.6,36.4,38.9,28461.0,18,Indiana,39.8942,-86.2816
Iowa,58580.0,3132499.0,38.1,36.9,39.3,31085.0,19,Iowa,42.0751,-93.49600000000001
Kansas,57422.0,2908776.0,36.5,35.3,37.9,30757.0,20,Kansas,38.4937,-98.3804
Kentucky,48392.0,4440204.0,38.7,37.3,40.1,26948.0,21,Kentucky,37.5347,-85.3021
Louisiana,47942.0,4663616.0,36.6,35.4,37.9,27027.0,22,Louisiana,31.0689,-91.9968
Maine,55425.0,1332813.0,44.6,43.2,45.8,31253.0,23,Maine,45.3695,-69.2428
Maryland,81868.0,6003435.0,38.6,37.0,40.1,40517.0,24,Maryland,39.055,-76.7909
Massachusetts,77378.0,6830193.0,39.4,37.9,40.9,41794.0,25,Massachusetts,42.2596,-71.8083
Michigan,54938.0,9957488.0,39.7,38.2,41.0,30336.0,26,Michigan,44.3467,-85.4102
